"item","categoria","parroquia","proyecto","monto","tramite","responsables","estado_original","estado_dashboard","fecha_entrega","cronograma_contractual","Avance","Coordenadas X","Coordenadas Y"
"1","PAC","RIOBAMBA","CONSTRUCCIÓN DEL COLECTOR NORORIENTAL (ALCANTARILLADO PLUVIAL) Y PLANTA DE TR...","6900000","1169325","ING. CARLOS MOREIRA
ING. GABRIELA MORA","SE REALIZO LAS OBSERVACIONES A LA ETAPA PREPARATORIA, MEDIANTE REUNION EL DÍA...","En desarrollo","","","","",""
"2","PAC","RIOBAMBA","CONSTRUCCIÓN DE BATERIA SANITARIA EN YARUQUIES E ILUMINACIÓN EN LOS PARQUES D...","72000","Sumilla Interna mediante MEMORANDO Nro. GADMR-DGPHDU-JDOP-2026-042-MP","ARQ. FERNANDO PONCE
ING. DENNIS SALAZAR
ING. DANIEL OROZCO
ING. SANDRA BERRON...","PROCESO QUINTA DEL COA DEL PARQUE FERNANDO DAQUILEMA DE YARUQUIES / ELABORACI...","En desarrollo","21 DE AGOSTO DEL 2026","","","",""
"3","PAC","RIOBAMBA","EJECUCIÓN DE LA CONSTRUCCIÓN DE ESPACIOS URBANOS CÍVICO–CULTURALES EN EL CANT...","135000","Sumilla Interna mediante MEMORANDO Nro. GADMR-DGPHDU-JDOP-2026-004A-MP","ARQ. GABRIEL PEREZ.
ING. FABIAN LLAMUCA
ING. ROSA GRANDA
ING. NELSON RODRIGUE...","EN ELABORACIÓN DE ETAPA PREPARATORIA / DISEÑO DE LA CIMENTACIÓN / UNIFICACIÓN...","En desarrollo","21 DE AGOSTO DEL 2026","","","",""
"4","PAC","RIOBAMBA","CONSTRUCCION DEL BOULEVARD DE LAS ANIMAS ETAPA I","260000","1197196","","ENTREGADO A LA DIRECCIÓN GENERAL DE GESTIÓN DE OBRAS PÚBLICAS","Entregado para Contratación","","120 DÍAS","","",""
"5","PAC","RIOBAMBA","CONSTRUCCIÓN DE BÓVEDAS EN EL CEMENTERIO GENERAL DE RIOBAMBA FASE II","150000","Sumilla Interna mediante MEMORANDO Nro. GADMR-DGPHDU-JDOP-2026-029-MP","ARQ. PABLO LLAMUCA
ING. ERIKA CALDERON
ING. JUAN JOSE DAVILA
ING. DENNIS SALA...","ELABORACIÓN DE PLAN MASA ARQUITECTONICO","En desarrollo","30 DE SEPTIEMBRE DEL 2026","","","",""
"6","PAC","RIOBAMBA","REHABILITACIÓN URBANA DE  LA CALLE VELOZ ENTRE LAS CALLES 5 DE JUNIO Y PEDRO ...","619802.4","Sumilla Interna mediante MEMORANDO Nro. GADMR-DGPHDU-JDOP-2026-041-MP","ARQ. GABRIEL PEREZ
ARQ. DANIEL YAULEMA
ING. ROSA GRANDA
ING. ERIKA CALDERON
I...","SISTEMA CONSTRUCTIVO","En desarrollo","31 DE AGOSTO DEL 2026","","","",""
"7","PAC","RIOBAMBA","REHABILITACIÓN  LA CALLE 10 DE AGOSTO Y LAS CALLES ADYACENTES DEL CENTRO HIST...","1112319.96","","","SE VA A CAMBIAR DE PROYECTO DEBIDO QUE ES FINANCIAMIENTO DEL BDE","No iniciado","","","","",""
"8","PAC","RIOBAMBA","AMPLIACIÓN DEL PUENTE DE INGRESO A LOS BARRIOS LA VICTORIA Y SAN JOSE DE CHIB...","150000","1123045","","ENTREGADO SUBIDO AL SERCOP","Entregado para Contratación","","120 DÍAS","","",""
"9","PAC","RIOBAMBA","CONSTRUCCIÓN DEL CERRAMIENTO EN EL PREDIO LA MATILDE Y ADECENTAMIENTO DE SUS ...","240000","1172982","","ENTREGADO A LA DIRECCIÓN GENERAL DE GESTIÓN DE OBRAS PÚBLICAS","Entregado para Contratación","","90 DÍAS","","",""
"10","PAC","RIOBAMBA","READECUACIÓN DE LA INFRAESTRUCTURA FISICA DEL CENTRO DE PRIVACIÓN DE LIBERTAD...","67000","1172221","","ENTREGADO A LA DIRECCIÓN GENERAL DE GESTIÓN DE OBRAS PÚBLICAS / PARA ELABORAC...","Entregado para Contratación","","60 DÍAS","","",""
